To Kill a Mockingbird,Harper Lee,Historical Fiction,76,HarperCollins
1984,George Orwell,Dystopian,98,Penguin
The Great Gatsby,F. Scott Fitzgerald,Classic,68,Scribner
One Hundred Years of Solitude,Gabriel García Márquez,Magical Realism,4,HarperCollins
Pride and Prejudice,Jane Austen,Classic,11,Oxford University Press
War and Peace,Leo Tolstoy,Historical Fiction,64,Penguin
The Catcher in the Rye,J.D. Salinger,Literary Fiction,1,"Little, Brown and Company"
The Chronicles of Narnia,C.S. Lewis,Fantasy,95,HarperCollins
The Hobbit,J.R.R. Tolkien,Fantasy,19,Houghton Mifflin Harcourt
Brave New World,Aldous Huxley,Dystopian,76,Vintage
Animal Farm,George Orwell,Dystopian,52,Signet Classic
The Diary of Anne Frank,Anne Frank,Biography,26,Bantam
Fahrenheit 451,Ray Bradbury,Dystopian,92,Simon & Schuster
The Book Thief,Markus Zusak,Historical Fiction,22,Knopf
The Little Prince,Antoine de Saint-Exupéry,Fable,11,Reynal & Hitchcock
Crime and Punishment,Fyodor Dostoevsky,Literary Fiction,26,Vintage
The Alchemist,Paulo Coelho,Philosophical Novel,60,HarperTorch
Catch-22,Joseph Heller,Satire,30,Simon & Schuster
Slaughterhouse-Five,Kurt Vonnegut,Science Fiction,79,Dell
Beloved,Toni Morrison,Literary Fiction,36,Knopf
Invisible Man,Ralph Ellison,Literary Fiction,13,Random House
Don Quixote,Miguel de Cervantes,Adventure,100,Penguin
Jane Eyre,Charlotte Brontë,Gothic Fiction,57,"Smith, Elder & Co."
The Brothers Karamazov,Fyodor Dostoevsky,Philosophical Novel,62,Vintage
Les Misérables,Victor Hugo,Historical Fiction,51,Signet Classic
Wuthering Heights,Emily Brontë,Gothic Fiction,65,Thomas Cautley Newby
The Lord of the Rings,J.R.R. Tolkien,Fantasy,52,Allen & Unwin
Moby Dick,Herman Melville,Adventure,34,Harper & Brothers
Ulysses,James Joyce,Modernist,70,Sylvia Beach
The Odyssey,Homer,Epic,27,Penguin
The Divine Comedy,Dante Alighieri,Epic Poetry,3,Random House
The Adventures of Huckleberry Finn,Mark Twain,Adventure,38,Charles L. Webster and Company
Madame Bovary,Gustave Flaubert,Realist Novel,21,Michel Lévy Frères
Hamlet,William Shakespeare,Tragedy,28,Oxford University Press
The Iliad,Homer,Epic,8,Penguin
Lolita,Vladimir Nabokov,Modernist,54,Olympia Press
Alice's Adventures in Wonderland,Lewis Carroll,Children's Literature,83,Macmillan
Gulliver's Travels,Jonathan Swift,Adventure,90,Benjamin Motte
The Count of Monte Cristo,Alexandre Dumas,Adventure,10,Penguin
Dracula,Bram Stoker,Gothic Fiction,47,Archibald Constable and Company
A Tale of Two Cities,Charles Dickens,Historical Fiction,98,Chapman & Hall
Great Expectations,Charles Dickens,Literary Fiction,88,Chapman & Hall
The Trial,Franz Kafka,Philosophical Novel,66,Schocken Books
Heart of Darkness,Joseph Conrad,Novella,74,Blackwood's Magazine
Frankenstein,Mary Shelley,Gothic Fiction,29,"Lackington, Hughes, Harding, Mavor, & Jones"
The Sun Also Rises,Ernest Hemingway,Literary Fiction,14,Scribner
The Sound and the Fury,William Faulkner,Literary Fiction,2,Jonathan Cape and Harrison Smith
Anna Karenina,Leo Tolstoy,Literary Fiction,17,The Russian Messenger
A Passage to India,E.M. Forster,Colonial Fiction,7,Edward Arnold
The Grapes of Wrath,John Steinbeck,Historical Fiction,78,The Viking Press